CowID,BullID
K56 , 9191G
A60 , 1181J
J46 , D172
L73 , 1181J
K05 , 9191G
G35 , D172
L22 , 9191G
H11 , 9191G
G22 , 1181J
F21 , 1181J
K82 , 1181J
K30 , 1278J
D29 , D172
K72 , 1278J
D19 , 1181J
G29 , 1181J
G34 , D172
L10 , D172
H61 , 8269
J61 , D172
C14 , J490
L33 , 1278J
F79 , D172
F83 , D172
K43 , 1278J
C66 , D172
J33 , 9191G
C28 , 1278J
L66 , 1278J
K32 , 1278J
N56 , 9191G
L20 , 1278J
K68 , 9191G
L28 , 1278J
H59 , 1181J
K75 , J490
J45 , 1278J
J65 , D172
K69 , 1278J
G60 , 1181J
J51 , 1278J
K25 , J490
G09 , Z124G
L44 , 8269
G07 , 1181J
J40 , 1278J
K21 , D172
H70 , 1278J
L06 , 9191G
C47 , 9191G
E59 , D172
J62 , Z124G
K34 , 1278J
G10 , D172
L09 , 1278J
L64 , J490
H15 , 1181J
F81 , 1278J
L12 , 9191G
K40 , 1181J
J27 , D172
C19 , Z124G
L94 , 9191G
L31 , 9191G
F06 , D172
L58 , 1278J
K59 , J490
K60 , 8269
C32 , 9191G
D10 , 8269
L70 , 1181J
L78 , 1181J
H31 , 1278J
J80 , Z124G
L29 , 8269
N46 , 1181J
L32 , 9191G
H26 , 9191G
F08 , 9191G
J04 , Z124G
J41 , 8269
L49 , 9191G
K11 , 1278J
G65 , 1181J
K52 , 1278J
L35 , 1181J
K51 , D172
H50 , D172
K86 , 1278J
E29 , 1181J
K38B , Z124G
H37 , D172
L61 , 9191G
H86 , 9191G
K67 , 1181J
J05 , 9191G
G11 , D172
C16 , D172
C12 , D172
K03B , 1181J
K65 , Z124G
G25 , 9191G
F19 , D172
L88 , 8269
L63 , Z124G
H62 , J490
H44 , 9191G
K87 , 1278J
J03 , J490
C17 , D172
E30 , J490
L60 , 1181J
K06 , 9191G
H42 , 1181J
D23 , 8269
J76 , Z124G
J10 , 1181J
