Trait,Target,Average,Achieved_Count,Achieved_Percent,Direction
PROS,118.0,135.30769230769232,102,87.17948717948718,Higher is better
CED,14.0,14.794871794871796,99,84.61538461538461,Higher is better
BW,-3.0,-3.271794871794872,77,65.8119658119658,Lower is better
WW,65.0,58.05982905982906,24,20.51282051282051,Higher is better
YW,100.0,91.67521367521367,37,31.62393162393162,Higher is better
ADG,0.28,0.21059829059829063,8,6.837606837606838,Higher is better
DMI,0.6,0.5417948717948718,80,68.37606837606837,Lower is better
Milk,29.0,26.376068376068375,43,36.75213675213676,Higher is better
ME,-2.0,-1.5299145299145298,63,53.84615384615385,Lower is better
HPG,12.0,11.290598290598291,49,41.88034188034188,Higher is better
CEM,8.0,8.094017094017094,89,76.06837606837607,Higher is better
STAY,18.0,18.153846153846153,82,70.08547008547008,Higher is better
Marb,0.5,0.5693162393162392,96,82.05128205128204,Higher is better
YG,0.03,-0.008034188034188037,77,65.8119658119658,Lower is better
CW,29.0,16.666666666666668,22,18.803418803418804,Higher is better
REA,0.17,0.13230769230769232,43,36.75213675213676,Higher is better
FAT,0.0,0.0005982905982905984,67,57.26495726495726,Lower is better
HB,70.0,77.96581196581197,91,77.77777777777779,Higher is better
GM,46.0,57.35897435897436,109,93.16239316239316,Higher is better
